"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",2400.1,NA,NA,NA
2030,"No IRA Min",979.599,59.185,NA,NA
2030,"No IRA Median",1201.47,49.941,NA,NA
2030,"No IRA Max",1379.59,42.519,NA,NA
2030,"IRA Min",368.59,84.643,62.373,611.009
2030,"IRA Median",741,69.126,38.326,460.47
2030,"IRA Max",1232.67,48.641,10.65,146.92
2035,"No IRA Min",775,67.71,NA,NA
2035,"No IRA Median",1165.178,51.453,NA,NA
2035,"No IRA Max",1430.05,40.417,NA,NA
2035,"IRA Min",323.384,86.526,58.273,451.616
2035,"IRA Median",500.038,79.166,57.085,665.14
2035,"IRA Max",772.508,67.814,45.98,657.542
