"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",1659,NA,NA,NA
2030,"No IRA Min",664.077,59.971,NA,NA
2030,"No IRA Median",781.277,52.907,NA,NA
2030,"No IRA Max",945.769,42.992,NA,NA
2030,"IRA Min",258.449,84.421,61.081,405.628
2030,"IRA Median",464.95,71.974,40.488,316.327
2030,"IRA Max",579.929,65.043,38.682,365.84
2035,"No IRA Min",503.376,69.658,NA,NA
2035,"No IRA Median",704.72,57.521,NA,NA
2035,"No IRA Max",924.921,44.248,NA,NA
2035,"IRA Min",211.399,87.257,58.004,291.977
2035,"IRA Median",269.318,83.766,61.784,435.403
2035,"IRA Max",508.636,69.341,45.008,416.284
