"scenario","model","year","value","variable_rename","alpha","axe"
"Historic","NEMS-OP",2021,3948.0848964004,"Total",0.8,1
"Historic","NEMS-OP",2021,3947.4194678198,"Total",0.8,1
"Historic","NEMS-EIA",2021,3921.1547336962,"Total",0.8,1
"No IRA","USREP-ReEDS",2030,4028.68737129835,"Total",1,2
"No IRA","EPS-EI",2030,4227.86700392,"Total",0.8,2
"No IRA","GCAM-CGS",2030,4354.25720440744,"Total",0.8,2
"No IRA","GCAM-PNNL",2030,5124.84161330556,"Total",1,2
"No IRA","Haiku-RFF",2030,3949.6628028445,"Total",0.8,2
"No IRA","IPM-NRDC",2030,4020.45690327867,"Total",0.8,2
"No IRA","IPM-EPA",2030,4237.57332025183,"Total",1,2
"No IRA","MARKAL-NETL",2030,4560.7487965445,"Total",0.8,2
"No IRA","NEMS-RHG",2030,3985.18402131189,"Total",0.8,2
"No IRA","NEMS-OP",2030,4244.4113296634,"Total",0.8,2
"No IRA","REGEN-EPRI",2030,3843.95158049086,"Total",0.8,2
"No IRA","RIO-REPEAT",2030,4332.3938,"Total",0.8,2
"No IRA","ReEDS-NREL",2030,4032.85149976644,"Total",0.8,2
"No IRA","NEMS-EIA",2030,4252.3706308636,"Total",0.8,2
"IRA","USREP-ReEDS",2030,4063.15413831613,"Total",1,2
"IRA","EPS-EI",2030,4693.33391840406,"Total",0.8,2
"IRA","GCAM-CGS",2030,4738.21573999394,"Total",0.8,2
"IRA","GCAM-PNNL",2030,5298.07651546612,"Total",1,2
"IRA","Haiku-RFF",2030,3955.67607545056,"Total",0.8,2
"IRA","IPM-NRDC",2030,4019.655607884,"Total",0.8,2
"IRA","IPM-EPA",2030,4248.08454862517,"Total",1,2
"IRA","MARKAL-NETL",2030,4671.87843500583,"Total",0.8,2
"IRA","NEMS-RHG",2030,4014.53117658911,"Total",0.8,2
"IRA","NEMS-OP",2030,4343.8219961234,"Total",0.8,2
"IRA","REGEN-EPRI",2030,3980.41267526739,"Total",0.8,2
"IRA","RIO-REPEAT",2030,4802.5026,"Total",0.8,2
"IRA","ReEDS-NREL",2030,4155.72111532006,"Total",0.8,2
"IRA","NEMS-EIA",2030,4290.3096526416,"Total",0.8,2
"No IRA","USREP-ReEDS",2035,4166.38233812336,"Total",1,3
"No IRA","EPS-EI",2035,4533.4074891,"Total",0.8,3
"No IRA","GCAM-CGS",2035,4699.26690919078,"Total",0.8,3
"No IRA","GCAM-PNNL",2035,5688.07381687222,"Total",1,3
"No IRA","Haiku-RFF",2035,3952.67170425789,"Total",0.8,3
"No IRA","IPM-NRDC",2035,4125.22387345833,"Total",0.8,3
"No IRA","IPM-EPA",2035,4519.54659440978,"Total",1,3
"No IRA","MARKAL-NETL",2035,4731.32660514461,"Total",0.8,3
"No IRA","NEMS-RHG",2035,4150.510055895,"Total",0.8,3
"No IRA","NEMS-OP",2035,4472.569742536,"Total",0.8,3
"No IRA","REGEN-EPRI",2035,4020.19034807431,"Total",0.8,3
"No IRA","RIO-REPEAT",2035,4834.7278,"Total",0.8,3
"No IRA","ReEDS-NREL",2035,4189.46564266922,"Total",0.8,3
"No IRA","NEMS-EIA",2035,4432.1335843232,"Total",0.8,3
"IRA","USREP-ReEDS",2035,4201.45467325991,"Total",1,3
"IRA","EPS-EI",2035,5031.97462096894,"Total",0.8,3
"IRA","GCAM-CGS",2035,4888.55983994972,"Total",0.8,3
"IRA","GCAM-PNNL",2035,5895.96384391556,"Total",1,3
"IRA","Haiku-RFF",2035,3963.42936642333,"Total",0.8,3
"IRA","IPM-NRDC",2035,4147.47471744356,"Total",0.8,3
"IRA","IPM-EPA",2035,4550.86557255283,"Total",1,3
"IRA","MARKAL-NETL",2035,4926.04173963067,"Total",0.8,3
"IRA","NEMS-RHG",2035,4256.15387876894,"Total",0.8,3
"IRA","NEMS-OP",2035,4651.76083897,"Total",0.8,3
"IRA","REGEN-EPRI",2035,4294.715565392,"Total",0.8,3
"IRA","RIO-REPEAT",2035,5913.3242,"Total",0.8,3
"IRA","ReEDS-NREL",2035,4497.1074386245,"Total",0.8,3
"IRA","NEMS-EIA",2035,4486.5117668,"Total",0.8,3
