"model","scenario","variable_rename","year","value","figure_num"
"USREP-ReEDS","No IRA","Total Industry Emissions",2025,1252.98988769,"Ap.5.IndEmis"
"USREP-ReEDS","No IRA","Total Industry Emissions",2030,1222.36571587,"Ap.5.IndEmis"
"USREP-ReEDS","No IRA","Total Industry Emissions",2035,1183.25485155,"Ap.5.IndEmis"
"USREP-ReEDS","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"USREP-ReEDS","IRA","Total Industry Emissions",2025,1152.13401681,"Ap.5.IndEmis"
"USREP-ReEDS","IRA","Total Industry Emissions",2030,1037.57958193,"Ap.5.IndEmis"
"USREP-ReEDS","IRA","Total Industry Emissions",2035,1037.94050988,"Ap.5.IndEmis"
"USREP-ReEDS","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"EPS-EI","No IRA","Total Industry Emissions",2025,1200.247358,"Ap.5.IndEmis"
"EPS-EI","No IRA","Total Industry Emissions",2030,1142.2420761,"Ap.5.IndEmis"
"EPS-EI","No IRA","Total Industry Emissions",2035,1117.2887562,"Ap.5.IndEmis"
"EPS-EI","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"EPS-EI","IRA","Total Industry Emissions",2025,1183.3456554,"Ap.5.IndEmis"
"EPS-EI","IRA","Total Industry Emissions",2030,975.2575952,"Ap.5.IndEmis"
"EPS-EI","IRA","Total Industry Emissions",2035,826.23129181,"Ap.5.IndEmis"
"EPS-EI","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"GCAM-CGS","No IRA","Total Industry Emissions",2025,1469.5880908,"Ap.5.IndEmis"
"GCAM-CGS","No IRA","Total Industry Emissions",2030,1498.2663569,"Ap.5.IndEmis"
"GCAM-CGS","No IRA","Total Industry Emissions",2035,1533.3296146,"Ap.5.IndEmis"
"GCAM-CGS","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"GCAM-CGS","IRA","Total Industry Emissions",2025,1299.8771115,"Ap.5.IndEmis"
"GCAM-CGS","IRA","Total Industry Emissions",2030,1185.549759,"Ap.5.IndEmis"
"GCAM-CGS","IRA","Total Industry Emissions",2035,1174.6879871,"Ap.5.IndEmis"
"GCAM-CGS","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"GCAM-PNNL","No IRA","Total Industry Emissions",2025,1158.1532940004,"Ap.5.IndEmis"
"GCAM-PNNL","No IRA","Total Industry Emissions",2030,1145.34480080117,"Ap.5.IndEmis"
"GCAM-PNNL","No IRA","Total Industry Emissions",2035,1109.9553081067,"Ap.5.IndEmis"
"GCAM-PNNL","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"GCAM-PNNL","IRA","Total Industry Emissions",2025,1120.51609047441,"Ap.5.IndEmis"
"GCAM-PNNL","IRA","Total Industry Emissions",2030,1048.83853933875,"Ap.5.IndEmis"
"GCAM-PNNL","IRA","Total Industry Emissions",2035,1015.29209318346,"Ap.5.IndEmis"
"GCAM-PNNL","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"MARKAL-NETL","No IRA","Total Industry Emissions",2025,1315.0982329,"Ap.5.IndEmis"
"MARKAL-NETL","No IRA","Total Industry Emissions",2030,1336.1244539,"Ap.5.IndEmis"
"MARKAL-NETL","No IRA","Total Industry Emissions",2035,1367.9857839,"Ap.5.IndEmis"
"MARKAL-NETL","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"MARKAL-NETL","IRA","Total Industry Emissions",2025,1316.8174649,"Ap.5.IndEmis"
