"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","Solar",85.9093998331202
"USREP-ReEDS",2030,"IRA","Solar",35.4357412230657
"USREP-ReEDS",2035,"IRA","Solar",39.1746768889891
"EPS-EI",2025,"IRA","Solar",39.3313786515099
"EPS-EI",2030,"IRA","Solar",99.354303790907
"EPS-EI",2035,"IRA","Solar",127.54708229014
"GCAM-CGS",2025,"IRA","Solar",29.4823512559117
"GCAM-CGS",2030,"IRA","Solar",53.8800590443496
"GCAM-CGS",2035,"IRA","Solar",67.0102414797845
"GCAM-PNNL",2025,"IRA","Solar",52.9202654889348
"GCAM-PNNL",2030,"IRA","Solar",37.4316393920713
"GCAM-PNNL",2035,"IRA","Solar",28.2636970242973
"Haiku-RFF",2025,"IRA","Solar",46.5385071310342
"Haiku-RFF",2030,"IRA","Solar",65.1788990486018
"Haiku-RFF",2035,"IRA","Solar",35.2480628613968
"IPM-NRDC",2025,"IRA","Solar",-5.85404027696502
"IPM-NRDC",2030,"IRA","Solar",10.9904610411843
"IPM-NRDC",2035,"IRA","Solar",18.9973353582929
"MARKAL-NETL",2025,"IRA","Solar",-8.15745749546637
"MARKAL-NETL",2030,"IRA","Solar",-7.81549982013341
"MARKAL-NETL",2035,"IRA","Solar",-7.50117422212928
"NEMS-RHG",2025,"IRA","Solar",-24.4959854390456
"NEMS-RHG",2030,"IRA","Solar",42.5943880637407
"NEMS-RHG",2035,"IRA","Solar",39.2919008706539
"OP-NEMS",2022,"IRA","Solar",0.902381636989613
"OP-NEMS",2023,"IRA","Solar",0.321079036403482
"OP-NEMS",2024,"IRA","Solar",0.24199521572057
"OP-NEMS",2025,"IRA","Solar",25.9736951431089
"OP-NEMS",2026,"IRA","Solar",41.6052151440074
"OP-NEMS",2027,"IRA","Solar",42.877457743364
"OP-NEMS",2028,"IRA","Solar",51.3541005085098
"OP-NEMS",2029,"IRA","Solar",56.8712120444333
"OP-NEMS",2030,"IRA","Solar",57.3726126062291
"OP-NEMS",2031,"IRA","Solar",58.9739441570311
"OP-NEMS",2032,"IRA","Solar",61.8957636229343
"OP-NEMS",2033,"IRA","Solar",66.0839220436029
"OP-NEMS",2034,"IRA","Solar",76.2007834965584
"OP-NEMS",2035,"IRA","Solar",80.8232229358157
"REGEN-EPRI",2025,"IRA","Solar",0.808536890737388
"REGEN-EPRI",2030,"IRA","Solar",4.08270419840657
"REGEN-EPRI",2035,"IRA","Solar",54.9315201523656
"RIO-REPEAT",2025,"IRA","Solar",9.63687150837989
"RIO-REPEAT",2030,"IRA","Solar",26.9076305220884
"RIO-REPEAT",2035,"IRA","Solar",65.2140077821012
"ReEDS-NREL",2025,"IRA","Solar",27.4298900221451
"ReEDS-NREL",2030,"IRA","Solar",97.5142727571922
"ReEDS-NREL",2035,"IRA","Solar",116.455704850249
"AEO.2023",2022,"IRA","Solar",-0.000506466318483945
"AEO.2023",2023,"IRA","Solar",0.0740897844675681
"AEO.2023",2024,"IRA","Solar",0.617941977876435
"AEO.2023",2025,"IRA","Solar",19.6373232592173
"AEO.2023",2026,"IRA","Solar",39.5653494322937
"AEO.2023",2027,"IRA","Solar",53.7533409051532
"AEO.2023",2028,"IRA","Solar",59.753220361258
"AEO.2023",2029,"IRA","Solar",62.3858207530686
"AEO.2023",2030,"IRA","Solar",61.7502025336587
"AEO.2023",2031,"IRA","Solar",48.9149117918595
"AEO.2023",2032,"IRA","Solar",39.0788421232487
"AEO.2023",2033,"IRA","Solar",40.2330256748398
"AEO.2023",2034,"IRA","Solar",42.7926948680822
"AEO.2023",2035,"IRA","Solar",43.0074910022976
"USREP-ReEDS",2021,"Historic","Solar",0
"EPS-EI",2021,"Historic","Solar",0
"GCAM-CGS",2021,"Historic","Solar",0
"GCAM-PNNL",2021,"Historic","Solar",0
"Haiku-RFF",2021,"Historic","Solar",0
"IPM-NRDC",2021,"Historic","Solar",0
"MARKAL-NETL",2021,"Historic","Solar",0
"NEMS-RHG",2021,"Historic","Solar",0
"OP-NEMS",2021,"Historic","Solar",0
"REGEN-EPRI",2021,"Historic","Solar",0
"RIO-REPEAT",2021,"Historic","Solar",0
"ReEDS-NREL",2021,"Historic","Solar",0
"AEO.2023",2021,"Historic","Solar",0
