"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Nuclear",-0.168514919274476,"Ap.9.NuclearGen"
"USREP-ReEDS",2030,"IRA","Nuclear",-2.0943981910936,"Ap.9.NuclearGen"
"USREP-ReEDS",2035,"IRA","Nuclear",-5.35395685030474,"Ap.9.NuclearGen"
"EPS-EI",2025,"IRA","Nuclear",1.55244299749238,"Ap.9.NuclearGen"
"EPS-EI",2030,"IRA","Nuclear",15.7675376796104,"Ap.9.NuclearGen"
"EPS-EI",2035,"IRA","Nuclear",-93.4888420985143,"Ap.9.NuclearGen"
"GCAM-CGS",2025,"IRA","Nuclear",-5.14452685109202,"Ap.9.NuclearGen"
"GCAM-CGS",2030,"IRA","Nuclear",-6.38389290073779,"Ap.9.NuclearGen"
"GCAM-CGS",2035,"IRA","Nuclear",-3.59886269086654,"Ap.9.NuclearGen"
"GCAM-PNNL",2025,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"GCAM-PNNL",2030,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"GCAM-PNNL",2035,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"Haiku-RFF",2025,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"Haiku-RFF",2030,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"Haiku-RFF",2035,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"IPM-NRDC",2025,"IRA","Nuclear",1.1301293289216,"Ap.9.NuclearGen"
"IPM-NRDC",2030,"IRA","Nuclear",33.0508100856017,"Ap.9.NuclearGen"
"IPM-NRDC",2035,"IRA","Nuclear",11.7339313122611,"Ap.9.NuclearGen"
"IPM-EPA",2030,"IRA","Nuclear",16.746309016379,"Ap.9.NuclearGen"
"IPM-EPA",2035,"IRA","Nuclear",35.7283558543903,"Ap.9.NuclearGen"
"MARKAL-NETL",2025,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"MARKAL-NETL",2030,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"MARKAL-NETL",2035,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"NEMS-RHG",2025,"IRA","Nuclear",-0.000897813366951272,"Ap.9.NuclearGen"
"NEMS-RHG",2030,"IRA","Nuclear",11.1528914839683,"Ap.9.NuclearGen"
"NEMS-RHG",2035,"IRA","Nuclear",-70.1449802547565,"Ap.9.NuclearGen"
"NEMS-OP",2022,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"NEMS-OP",2023,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"NEMS-OP",2024,"IRA","Nuclear",-7.73156921818341e-06,"Ap.9.NuclearGen"
"NEMS-OP",2025,"IRA","Nuclear",-7.8027465599817e-06,"Ap.9.NuclearGen"
"NEMS-OP",2026,"IRA","Nuclear",0,"Ap.9.NuclearGen"
"NEMS-OP",2027,"IRA","Nuclear",1.88029929787046,"Ap.9.NuclearGen"
"NEMS-OP",2028,"IRA","Nuclear",9.87183516910657,"Ap.9.NuclearGen"
"NEMS-OP",2029,"IRA","Nuclear",13.1523081019543,"Ap.9.NuclearGen"
"NEMS-OP",2030,"IRA","Nuclear",17.345610353512,"Ap.9.NuclearGen"
"NEMS-OP",2031,"IRA","Nuclear",19.1416559583532,"Ap.9.NuclearGen"
"NEMS-OP",2032,"IRA","Nuclear",21.5234614911346,"Ap.9.NuclearGen"
"NEMS-OP",2033,"IRA","Nuclear",25.6024394755208,"Ap.9.NuclearGen"
"NEMS-OP",2034,"IRA","Nuclear",26.510033821471,"Ap.9.NuclearGen"
"NEMS-OP",2035,"IRA","Nuclear",20.7817829874481,"Ap.9.NuclearGen"
"REGEN-EPRI",2025,"IRA","Nuclear",0.67693128988624,"Ap.9.NuclearGen"
"REGEN-EPRI",2030,"IRA","Nuclear",0.351875482211383,"Ap.9.NuclearGen"
"REGEN-EPRI",2035,"IRA","Nuclear",-2.7252543406154,"Ap.9.NuclearGen"
"RIO-REPEAT",2025,"IRA","Nuclear",-0.0624609618988359,"Ap.9.NuclearGen"
"RIO-REPEAT",2030,"IRA","Nuclear",-0.125786163522013,"Ap.9.NuclearGen"
