"model","year","variable_rename","metric","value"
"EPS-EI",2030,"Biomass w/o CCS","value_ira",0.0424817326184488
"EPS-EI",2030,"Biomass w/o CCS","diff",-21.9940202044025
"EPS-EI",2030,"Coal w/o CCS","value_ira",188.611934062726
"EPS-EI",2030,"Coal w/o CCS","diff",-245.751219687836
"EPS-EI",2030,"Gas w/o CCS","value_ira",1007.50680059796
"EPS-EI",2030,"Gas w/o CCS","diff",-771.449064697849
"EPS-EI",2030,"Hydro","value_ira",282.50689685172
"EPS-EI",2030,"Hydro","diff",0
"EPS-EI",2030,"Nuclear","value_ira",802.278507800933
"EPS-EI",2030,"Nuclear","diff",109.270326162606
"EPS-EI",2030,"Solar","value_ira",1072.57854709934
"EPS-EI",2030,"Solar","diff",534.552265898852
"EPS-EI",2030,"Wind","value_ira",1598.24672958962
"EPS-EI",2030,"Wind","diff",864.471284363013
"EPS-EI",2035,"Biomass w/o CCS","value_ira",0.025277321173286
"EPS-EI",2035,"Biomass w/o CCS","diff",-22.5654146050702
"EPS-EI",2035,"Coal w/o CCS","value_ira",18.0534358307777
"EPS-EI",2035,"Coal w/o CCS","diff",-389.768197360521
"EPS-EI",2035,"Gas w/o CCS","value_ira",712.324132718836
"EPS-EI",2035,"Gas w/o CCS","diff",-1115.72584575069
"EPS-EI",2035,"Hydro","value_ira",280.652930341402
"EPS-EI",2035,"Hydro","diff",-1.79996748574609
"EPS-EI",2035,"Nuclear","value_ira",41.4337015498731
"EPS-EI",2035,"Nuclear","diff",-594.915503564913
"EPS-EI",2035,"Solar","value_ira",1678.62773760311
"EPS-EI",2035,"Solar","diff",940.922063371378
"EPS-EI",2035,"Wind","value_ira",2577.92233292477
"EPS-EI",2035,"Wind","diff",1687.30362088368
"GCAM-CGS",2030,"Biomass w/o CCS","value_ira",41.3067052327982
"GCAM-CGS",2030,"Biomass w/o CCS","diff",-4.28791921054865
"GCAM-CGS",2030,"Coal w/ CCS","value_ira",0.0210273979430522
"GCAM-CGS",2030,"Coal w/ CCS","diff",-1.34227103126139
"GCAM-CGS",2030,"Coal w/o CCS","value_ira",219.440513292526
"GCAM-CGS",2030,"Coal w/o CCS","diff",-517.904115794384
"GCAM-CGS",2030,"Gas w/ CCS","value_ira",449.124880708779
"GCAM-CGS",2030,"Gas w/ CCS","diff",447.043957464828
"GCAM-CGS",2030,"Gas w/o CCS","value_ira",1242.25718066943
"GCAM-CGS",2030,"Gas w/o CCS","diff",-346.429692440859
"GCAM-CGS",2030,"Hydro","value_ira",296.177488242215
"GCAM-CGS",2030,"Hydro","diff",-4.1316700885572
"GCAM-CGS",2030,"Nuclear","value_ira",738.3104310853
"GCAM-CGS",2030,"Nuclear","diff",-50.347048874277
"GCAM-CGS",2030,"Solar","value_ira",921.877250448638
"GCAM-CGS",2030,"Solar","diff",322.789066980405
"GCAM-CGS",2030,"Wind","value_ira",1131.87347267429
"GCAM-CGS",2030,"Wind","diff",555.419473679992
"GCAM-CGS",2035,"Biomass w/o CCS","value_ira",39.0689128780555
"GCAM-CGS",2035,"Biomass w/o CCS","diff",-5.67783549226684
"GCAM-CGS",2035,"Coal w/ CCS","value_ira",0
"GCAM-CGS",2035,"Coal w/ CCS","diff",0
"GCAM-CGS",2035,"Coal w/o CCS","value_ira",0.0043332550582776
"GCAM-CGS",2035,"Coal w/o CCS","diff",-684.029898542466
"GCAM-CGS",2035,"Gas w/ CCS","value_ira",456.568384584142
"GCAM-CGS",2035,"Gas w/ CCS","diff",456.568384584142
"GCAM-CGS",2035,"Gas w/o CCS","value_ira",1191.10561688331
"GCAM-CGS",2035,"Gas w/o CCS","diff",-657.53821208301
"GCAM-CGS",2035,"Hydro","value_ira",288.849691165637
"GCAM-CGS",2035,"Hydro","diff",-5.30629025934144
"GCAM-CGS",2035,"Nuclear","value_ira",760.081711979887
"GCAM-CGS",2035,"Nuclear","diff",-28.3754921529874
"GCAM-CGS",2035,"Solar","value_ira",1210.43817988596
"GCAM-CGS",2035,"Solar","diff",485.669345854622
"GCAM-CGS",2035,"Wind","value_ira",1250.65574923714
"GCAM-CGS",2035,"Wind","diff",632.726776938496
"GCAM-PNNL",2030,"Biomass w/o CCS","value_ira",47.135759660143
"GCAM-PNNL",2030,"Biomass w/o CCS","diff",2.00976925148436
"GCAM-PNNL",2030,"Coal w/ CCS","value_ira",157.219382242636
"GCAM-PNNL",2030,"Coal w/ CCS","diff",157.219382242636
"GCAM-PNNL",2030,"Coal w/o CCS","value_ira",218.884934995048
"GCAM-PNNL",2030,"Coal w/o CCS","diff",-258.961988828913
"GCAM-PNNL",2030,"Gas w/ CCS","value_ira",156.663836722344
"GCAM-PNNL",2030,"Gas w/ CCS","diff",156.663836722344
"GCAM-PNNL",2030,"Gas w/o CCS","value_ira",1413.53835501377
"GCAM-PNNL",2030,"Gas w/o CCS","diff",-449.63076684833
"GCAM-PNNL",2030,"Geothermal","value_ira",75.0219781512723
"GCAM-PNNL",2030,"Geothermal","diff",13.9783586088271
"GCAM-PNNL",2030,"Hydro","value_ira",258.007006079531
"GCAM-PNNL",2030,"Hydro","diff",0
"GCAM-PNNL",2030,"Nuclear","value_ira",782.274758033571
"GCAM-PNNL",2030,"Nuclear","diff",0
"GCAM-PNNL",2030,"Oil","value_ira",16.9910264108186
"GCAM-PNNL",2030,"Oil","diff",-1.38530830940013
"GCAM-PNNL",2030,"Solar","value_ira",822.329868624925
"GCAM-PNNL",2030,"Solar","diff",144.400725712959
"GCAM-PNNL",2030,"Wind","value_ira",1641.69972605224
"GCAM-PNNL",2030,"Wind","diff",418.47848874354
"GCAM-PNNL",2035,"Biomass w/o CCS","value_ira",65.4284292250058
"GCAM-PNNL",2035,"Biomass w/o CCS","diff",-1.21689468492362
"GCAM-PNNL",2035,"Coal w/ CCS","value_ira",209.996206670376
"GCAM-PNNL",2035,"Coal w/ CCS","diff",209.996206670376
