"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","CO2",-9.09330845937907,"Ap.1.EconWideEmis"
"USREP-ReEDS",2030,"IRA","CO2",-17.4406374324874,"Ap.1.EconWideEmis"
"USREP-ReEDS",2035,"IRA","CO2",-19.4597560277351,"Ap.1.EconWideEmis"
"EPS-EI",2025,"IRA","CO2",-5.43557437877347,"Ap.1.EconWideEmis"
"EPS-EI",2030,"IRA","CO2",-17.6587227840994,"Ap.1.EconWideEmis"
"EPS-EI",2035,"IRA","CO2",-25.6512244270987,"Ap.1.EconWideEmis"
"GCAM-CGS",2025,"IRA","CO2",-11.4361326811203,"Ap.1.EconWideEmis"
"GCAM-CGS",2030,"IRA","CO2",-21.7130291429615,"Ap.1.EconWideEmis"
"GCAM-CGS",2035,"IRA","CO2",-25.082841067905,"Ap.1.EconWideEmis"
"GCAM-PNNL",2025,"IRA","CO2",-5.31469359078982,"Ap.1.EconWideEmis"
"GCAM-PNNL",2030,"IRA","CO2",-12.5801470516698,"Ap.1.EconWideEmis"
"GCAM-PNNL",2035,"IRA","CO2",-15.3868111471961,"Ap.1.EconWideEmis"
"MARKAL-NETL",2025,"IRA","CO2",-0.448364554693004,"Ap.1.EconWideEmis"
"MARKAL-NETL",2030,"IRA","CO2",-4.61761603375527,"Ap.1.EconWideEmis"
"MARKAL-NETL",2035,"IRA","CO2",-18.6801203820906,"Ap.1.EconWideEmis"
"NEMS-RHG",2025,"IRA","CO2",2.22876071422258,"Ap.1.EconWideEmis"
"NEMS-RHG",2030,"IRA","CO2",-12.5585206436748,"Ap.1.EconWideEmis"
"NEMS-RHG",2035,"IRA","CO2",-12.2047981984661,"Ap.1.EconWideEmis"
"OP-NEMS",2025,"IRA","CO2",-1.71394634904045,"Ap.1.EconWideEmis"
"OP-NEMS",2030,"IRA","CO2",-10.5110048818472,"Ap.1.EconWideEmis"
"OP-NEMS",2035,"IRA","CO2",-17.6634861142342,"Ap.1.EconWideEmis"
"REGEN-EPRI",2025,"IRA","CO2",-0.764638601634338,"Ap.1.EconWideEmis"
"REGEN-EPRI",2030,"IRA","CO2",-4.54653648495589,"Ap.1.EconWideEmis"
"REGEN-EPRI",2035,"IRA","CO2",-18.199690868412,"Ap.1.EconWideEmis"
"RIO-REPEAT",2025,"IRA","CO2",-0.790102921301594,"Ap.1.EconWideEmis"
"RIO-REPEAT",2030,"IRA","CO2",-11.1405197305101,"Ap.1.EconWideEmis"
"RIO-REPEAT",2035,"IRA","CO2",-25.5256064690027,"Ap.1.EconWideEmis"
"USREP-ReEDS",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"EPS-EI",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"GCAM-CGS",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"GCAM-PNNL",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"MARKAL-NETL",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"NEMS-RHG",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"OP-NEMS",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"REGEN-EPRI",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
"RIO-REPEAT",2021,"Historic","CO2",0,"Ap.1.EconWideEmis"
