"figure_num","model","scenario","variable","unit","year","variable_rename","value"
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2022,"Electricity",1507.019531
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2023,"Electricity",1396.994263
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2024,"Electricity",1395.245239
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2025,"Electricity",1295.490356
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2026,"Electricity",1161.389648
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2027,"Electricity",1024.768433
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2028,"Electricity",913.385315
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2029,"Electricity",828.363403
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2030,"Electricity",768.311584
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2031,"Electricity",748.608398
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2032,"Electricity",743.979004
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2033,"Electricity",739.65332
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2034,"Electricity",722.299683
1.2,"AEO.2023","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2035,"Electricity",714.001099
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2022,"Electricity",1507.266113
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2023,"Electricity",1396.958008
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2024,"Electricity",1387.346802
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2025,"Electricity",1317.436523
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2026,"Electricity",1269.72522
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2027,"Electricity",1235.09375
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2028,"Electricity",1214.805298
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2029,"Electricity",1202.780518
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2030,"Electricity",1177.160889
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2031,"Electricity",1144.698242
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2032,"Electricity",1121.275391
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2033,"Electricity",1117.068115
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2034,"Electricity",1111.81311
1.2,"AEO.2023","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2035,"Electricity",1100.493042
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2005,"Electricity",2400.1
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2006,"Electricity",2344.4
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2007,"Electricity",2411.1
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2008,"Electricity",2359.3
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2009,"Electricity",2145.3
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2010,"Electricity",2258.6
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2011,"Electricity",2158.1
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2012,"Electricity",2023.3
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2013,"Electricity",2038.3
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2014,"Electricity",2037.2
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2015,"Electricity",1900.6
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2016,"Electricity",1808.9
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2017,"Electricity",1732
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2018,"Electricity",1753.4
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2019,"Electricity",1606.7
1.2,"EPA-GHGI","Historic","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2020,"Electricity",1439.6
1.2,"EPS-EI","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"EPS-EI","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2025,"Electricity",1189.66
1.2,"EPS-EI","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2030,"Electricity",602.7
1.2,"EPS-EI","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2035,"Electricity",336.702
1.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2025,"Electricity",1350.69
1.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2030,"Electricity",1201.47
1.2,"EPS-EI","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2035,"Electricity",1198.69
1.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2025,"Electricity",1001.239884
1.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2030,"Electricity",679.6590548
1.2,"GCAM-CGS","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2035,"Electricity",445.5802983
1.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
1.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2025,"Electricity",1325.317583
1.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2030,"Electricity",1274.910283
1.2,"GCAM-CGS","No IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2035,"Electricity",1293.115286
1.2,"GCAM-PNNL","IRA","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",2021,"Electricity",1540.9
