"model","year","scenario","variable_rename","value","figure_num"
"USREP-ReEDS",2025,"IRA","Natural Gas",-15.671179965441,"Ap.14.GasGen"
"USREP-ReEDS",2030,"IRA","Natural Gas",-36.5606515576638,"Ap.14.GasGen"
"USREP-ReEDS",2035,"IRA","Natural Gas",-50.2818686000818,"Ap.14.GasGen"
"EPS-EI",2025,"IRA","Natural Gas",-7.19224061504076,"Ap.14.GasGen"
"EPS-EI",2030,"IRA","Natural Gas",-43.3652728405138,"Ap.14.GasGen"
"EPS-EI",2035,"IRA","Natural Gas",-61.033662038321,"Ap.14.GasGen"
"GCAM-CGS",2025,"IRA","Natural Gas",-13.3941630962586,"Ap.14.GasGen"
"GCAM-CGS",2030,"IRA","Natural Gas",-21.8060398373298,"Ap.14.GasGen"
"GCAM-CGS",2035,"IRA","Natural Gas",-35.5686802281799,"Ap.14.GasGen"
"GCAM-PNNL",2025,"IRA","Natural Gas",-13.0170983835058,"Ap.14.GasGen"
"GCAM-PNNL",2030,"IRA","Natural Gas",-24.1325793548445,"Ap.14.GasGen"
"GCAM-PNNL",2035,"IRA","Natural Gas",-33.1663534873439,"Ap.14.GasGen"
"Haiku-RFF",2025,"IRA","Natural Gas",-16.3756769220131,"Ap.14.GasGen"
"Haiku-RFF",2030,"IRA","Natural Gas",-29.4111846690213,"Ap.14.GasGen"
"Haiku-RFF",2035,"IRA","Natural Gas",-30.7985088763617,"Ap.14.GasGen"
"IPM-NRDC",2025,"IRA","Natural Gas",5.09489274813131,"Ap.14.GasGen"
"IPM-NRDC",2030,"IRA","Natural Gas",-15.0203541986612,"Ap.14.GasGen"
"IPM-NRDC",2035,"IRA","Natural Gas",-19.6142356746974,"Ap.14.GasGen"
"IPM-EPA",2030,"IRA","Natural Gas",-39.9681306070252,"Ap.14.GasGen"
"IPM-EPA",2035,"IRA","Natural Gas",-84.9312138738831,"Ap.14.GasGen"
"MARKAL-NETL",2025,"IRA","Natural Gas",0.300597632805744,"Ap.14.GasGen"
"MARKAL-NETL",2030,"IRA","Natural Gas",6.85398191158275,"Ap.14.GasGen"
"MARKAL-NETL",2035,"IRA","Natural Gas",-29.2965476240119,"Ap.14.GasGen"
"NEMS-RHG",2025,"IRA","Natural Gas",16.505147914675,"Ap.14.GasGen"
