"model","year","scenario","variable_rename","value"
"USREP-ReEDS",2025,"IRA","CO2",-8.04921666733773
"USREP-ReEDS",2030,"IRA","CO2",-15.1170906988733
"USREP-ReEDS",2035,"IRA","CO2",-12.2808997131637
"EPS-EI",2025,"IRA","CO2",-1.40818494827684
"EPS-EI",2030,"IRA","CO2",-14.619009783856
"EPS-EI",2035,"IRA","CO2",-26.0503350456566
"GCAM-CGS",2025,"IRA","CO2",-11.5482004790873
"GCAM-CGS",2030,"IRA","CO2",-20.8718961433776
"GCAM-CGS",2035,"IRA","CO2",-23.3897281173073
"GCAM-PNNL",2025,"IRA","CO2",-21.3080843649227
"GCAM-PNNL",2030,"IRA","CO2",-43.4638401761217
"GCAM-PNNL",2035,"IRA","CO2",-46.2883503918263
"IPM-NRDC",2025,"IRA","CO2",6.07281079321687
"IPM-NRDC",2030,"IRA","CO2",-23.0995419875928
"IPM-NRDC",2035,"IRA","CO2",-28.4635352433198
"IPM-EPA",2025,"IRA","CO2",6.07281079321709
"IPM-EPA",2030,"IRA","CO2",-25.4577974639098
"IPM-EPA",2035,"IRA","CO2",-51.2302488684527
"MARKAL-NETL",2025,"IRA","CO2",0.130730309438909
"MARKAL-NETL",2030,"IRA","CO2",-1.60750326103907
"MARKAL-NETL",2035,"IRA","CO2",-10.6520932727815
"NEMS-RHG",2025,"IRA","CO2",2.59232285506568
"NEMS-RHG",2030,"IRA","CO2",-12.4266771963464
"NEMS-RHG",2035,"IRA","CO2",-19.5343771859101
"OP-NEMS",2022,"IRA","CO2",-0.0126298906832467
"OP-NEMS",2023,"IRA","CO2",0.0282903732180539
"OP-NEMS",2024,"IRA","CO2",-0.412650171837881
"OP-NEMS",2025,"IRA","CO2",-1.77561048120628
"OP-NEMS",2026,"IRA","CO2",-2.87421561062642
"OP-NEMS",2027,"IRA","CO2",-4.1209306217874
"OP-NEMS",2028,"IRA","CO2",-5.87721660345244
"OP-NEMS",2029,"IRA","CO2",-8.06216833487529
"OP-NEMS",2030,"IRA","CO2",-9.32905626036774
"OP-NEMS",2031,"IRA","CO2",-10.3666936077223
"OP-NEMS",2032,"IRA","CO2",-11.0855701053523
"OP-NEMS",2033,"IRA","CO2",-12.2953989919105
"OP-NEMS",2034,"IRA","CO2",-13.6901387684778
"OP-NEMS",2035,"IRA","CO2",-13.9313115660112
"REGEN-EPRI",2025,"IRA","CO2",-1.12460743201219
"REGEN-EPRI",2030,"IRA","CO2",-4.70654945607076
"REGEN-EPRI",2035,"IRA","CO2",-20.0198468179501
"RIO-REPEAT",2025,"IRA","CO2",-2.80042508456025
"RIO-REPEAT",2030,"IRA","CO2",-14.7943793653842
"RIO-REPEAT",2035,"IRA","CO2",-32.5722299278783
"AEO.2023",2022,"IRA","CO2",0.0262113861143609
"AEO.2023",2023,"IRA","CO2",-1.6897421953553
"AEO.2023",2024,"IRA","CO2",-0.59011276371862
"AEO.2023",2025,"IRA","CO2",-0.967021583685079
"AEO.2023",2026,"IRA","CO2",-2.75221795232201
"AEO.2023",2027,"IRA","CO2",-4.77163238569594
"AEO.2023",2028,"IRA","CO2",-6.63604545813782
"AEO.2023",2029,"IRA","CO2",-8.17677097937649
"AEO.2023",2030,"IRA","CO2",-9.01375015864445
"AEO.2023",2031,"IRA","CO2",-8.63950099485092
"AEO.2023",2032,"IRA","CO2",-8.3181745393189
"AEO.2023",2033,"IRA","CO2",-8.3184483329299
"AEO.2023",2034,"IRA","CO2",-8.54855077072717
"AEO.2023",2035,"IRA","CO2",-8.60595419965112
"USREP-ReEDS",2021,"Historic","CO2",0
"EPS-EI",2021,"Historic","CO2",0
"GCAM-CGS",2021,"Historic","CO2",0
"GCAM-PNNL",2021,"Historic","CO2",0
"IPM-NRDC",2021,"Historic","CO2",0
"IPM-EPA",2021,"Historic","CO2",0
"MARKAL-NETL",2021,"Historic","CO2",0
"NEMS-RHG",2021,"Historic","CO2",0
"OP-NEMS",2021,"Historic","CO2",0
"REGEN-EPRI",2021,"Historic","CO2",0
"RIO-REPEAT",2021,"Historic","CO2",0
"AEO.2023",2021,"Historic","CO2",0
