model,scenario,region,variable,ghgi-table,notes,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EPA-GHGI,Historic,United States,Emissions|CH4,ES-2,Gas CH4 + LULUCF CH4,Mt CO2e/yr,922.1671946,927.3508533,925.6741772,914.6736512,925.0416554,916.7901186,912.3556332,895.6607439,881.5744433,866.6649715,867.7692753,853.7940666,855.3942856,851.0452057,857.5693181,852.3780121,855.0351193,863.1166604,869.4948992,861.2042436,860.3817795,839.3468402,828.3433945,832.0184873,825.2849489,838.3302061,799.3180852,822.7244482,831.3879173,824.6636687,807.6647012,793.4152072
EPA-GHGI,Historic,United States,Emissions|CH4|LULUCF,ES-2,,Mt CO2e/yr,53.5,53,51.2,51.2,53.6,50.8,52.6,50.5,51.4,54.1,58.2,52.7,60.9,56.6,66.8,61.3,56.5,59.6,54.8,57.9,52.2,55.7,57,57.2,53.2,67,53.9,60.1,57.3,56.9,65.4,66
EPA-GHGI,Historic,United States,Emissions|CO2,,,Mt CO2/yr,5120.957207,5062.956718,5174.227507,5272.850808,5364.279285,5425.259696,5612.982752,5688.142511,5733.28055,5803.917834,6010.135928,5907.739935,5946.308145,6010.145463,6112.654584,6132.18327,6052.686215,6130.12276,5915.118465,5480.725731,5679.715249,5546.116067,5344.08598,5480.156537,5528.681067,5376.473125,5252.932175,5212.162345,5377.797353,5262.145074,4714.628032,5032.212819
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Coal,,,Mt CO2/yr,1719.8,1715.8,1733,1798.3,1805,1820.4,1905.3,1950.5,1979.4,1979.4,2065.2,2010,2019.7,2061.1,2076.3,2113.7,2078.5,2107.8,2075.5,1837.6,1931.2,1817.6,1597.3,1658,1655.1,1427.6,1310.7,1270,1211.6,1028.2,835.6,957.3
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings,,,Mt CO2/yr,566.9,580.4,582,589.1,581.7,580.9,621.1,602.8,551.7,571.6,608.2,591.6,590.1,620.2,607.1,586,533.5,564.3,575.4,564.4,559.3,550.7,482.7,553.3,578.9,561.9,524.3,525.4,584,592.1,541.7,546.3
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial,,,Mt CO2/yr,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,228,224.5,224.5,200.3,224.2,232.4,244.6,231.5,232,245.8,250.7,228.5,233
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Coal,,,Mt CO2/yr,12,11.1,11.3,11.3,11.3,11.2,11.6,12.3,8.9,9.8,8.8,9.2,8.6,7.8,9.8,9.3,6.2,6.7,7.6,6.9,6.6,5.8,4.1,3.9,3.8,3,2.3,2,1.8,1.6,1.4,1.4
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Gas,,,Mt CO2/yr,142,148.1,152.1,154.9,157,164.2,171.1,174.3,163.3,165.2,172.5,164.2,170.5,172.9,169.8,162.9,153.8,163.6,171.2,169.1,168,170.7,157,179.2,189.2,175.4,170.5,173.2,192.5,192.9,173.8,180.9
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,,,Mt CO2/yr,537.7,538.5,537.1,562,572.1,586.6,608.5,649.1,685,693.8,741,755.5,753.6,754.1,773.2,803,798.3,828.2,815.4,752.9,773,738.2,700.6,704.5,705.6,663,633.6,606.2,605,552.7,480.3,518.5
EPA-GHGI,Historic,United States,Emissions|CO2|Energy|Demand|Buildings|Commercial|Oil,,,Mt CO2/yr,74.3,73.4,64.6,56.9,56.4,52.4,54.8,51.3,47.9,45.8,55.3,55,50,59.4,58.4,54.9,51.7,52.8,48.7,52.1,49.9,47.9,39.1,41.1,39.4,66.2,58.7,56.8,51.5,56.2,53.2,50.7
